119,589,618,818,720
120,565,570,793,720
121,562,545,853,720
122,570,556,847,720
123,571,545,841,720
124,565,541,844,720
125,567,541,846,720
126,548,479,842,720
127,541,482,863,720
128,531,485,896,720
129,522,473,977,720
130,506,421,897,720
131,501,391,885,720
132,489,335,893,720
133,469,315,883,720
134,594,503,899,720
134,431,294,714,555
135,593,516,895,720
135,412,267,713,510
136,569,451,865,720
136,382,236,729,464
137,437,445,841,720
137,383,185,695,435
138,474,444,832,720
138,382,108,702,420
139,494,439,807,720
139,406,62,710,409
140,487,531,710,720
140,567,370,794,543
140,407,0,722,381
141,478,468,684,720
141,450,0,724,355
142,462,476,639,720
142,530,333,793,516
142,468,43,723,311
143,428,421,660,720
143,547,298,776,469
143,468,94,680,281
144,387,248,773,720
144,481,0,710,245
145,365,508,595,720
145,424,214,776,502
145,472,44,656,245
146,335,423,567,704
146,386,47,763,448
147,314,0,759,659
148,288,0,759,584
149,270,0,762,539
150,249,324,446,483
150,398,0,767,319
151,241,267,438,450
151,392,0,755,264
152,244,184,495,404
152,431,0,758,245
153,254,154,502,399
153,450,0,756,230
154,268,0,769,340
155,274,60,517,293
155,476,0,763,225
156,283,19,509,257
156,499,0,757,198
157,300,0,753,236
158,493,0,748,149
158,329,0,515,269
159,495,0,746,128
160,506,0,742,122
186,530,573,834,720
187,507,556,733,720
188,469,489,718,720
189,441,434,691,720
190,401,408,658,720
191,379,355,657,720
192,666,546,855,720
192,360,301,635,682
193,649,546,977,720
193,350,255,623,628
194,699,552,977,720
194,336,194,606,555
195,659,555,977,720
195,329,150,598,497
196,693,547,977,720
196,321,81,585,423
197,662,540,954,720
197,315,40,579,364
198,632,501,919,720
198,309,0,597,340
199,509,482,904,720
199,303,0,574,296
200,495,479,954,720
200,307,0,574,293
201,472,479,954,720
201,309,0,564,280
202,433,456,954,720
202,305,0,553,197
203,409,421,873,720
203,306,0,557,160
204,387,333,859,720
205,352,456,610,720
205,558,327,852,617
206,320,456,601,720
206,557,314,859,551
207,308,457,600,705
207,558,309,858,521
208,302,455,583,648
208,556,245,851,469
209,303,424,510,610
209,429,203,846,472
210,308,304,576,555
210,430,142,837,416
211,309,304,585,519
211,459,106,834,442
212,307,283,580,478
212,467,51,812,396
213,302,244,585,451
213,480,12,803,380
214,294,0,793,406
215,286,0,793,395
216,268,0,798,394
217,254,0,803,386
218,240,0,813,345
219,238,0,817,312
220,242,0,839,279
221,250,0,786,281
222,267,0,790,283
223,289,0,789,287
224,316,0,644,293
225,334,0,702,291
226,341,0,761,286
227,341,0,639,265
228,446,0,618,279
229,458,0,621,259
230,473,0,626,260
231,482,0,635,249
232,496,0,700,163
233,478,0,699,168
234,472,0,699,150
235,472,0,701,228
236,482,0,724,210
237,482,0,735,188
238,482,0,730,155
239,484,0,778,154
240,484,0,790,151
241,484,0,804,146
242,506,0,824,126
243,550,0,791,117
288,528,559,713,720
289,518,543,713,720
290,501,498,723,720
291,479,480,709,720
292,465,481,722,720
293,437,480,717,720
294,438,469,727,720
295,441,443,732,720
296,441,355,731,720
297,435,324,746,720
298,417,311,794,720
299,410,310,723,720
300,529,535,746,720
300,430,257,692,531
301,526,542,742,720
301,436,218,689,494
302,513,544,748,720
302,517,164,696,442
303,502,542,706,720
303,525,127,701,405
304,489,512,702,720
304,525,69,711,399
305,473,473,699,720
305,520,25,718,393
306,455,427,739,720
306,537,0,733,358
307,448,418,733,720
307,542,0,740,309
308,447,416,731,720
308,555,0,745,290
309,446,416,730,720
309,566,0,755,282
310,444,465,715,720
310,556,0,742,268
311,447,439,717,714
311,556,0,735,263
312,442,367,663,662
312,556,0,715,238
313,438,455,668,624
314,422,383,721,564
314,556,0,741,148
315,414,334,727,529
316,391,256,729,478
317,385,203,724,452
318,522,230,723,375
318,378,127,566,422
319,383,81,727,402
320,398,24,736,366
321,408,0,740,345
322,427,0,746,339
323,438,0,745,302
324,454,0,746,244
325,458,0,772,222
326,464,0,752,220
327,460,0,751,218
328,402,0,752,209
329,460,0,751,200
330,481,0,751,161
331,488,0,751,165
563,736,555,977,720
564,736,555,977,720
565,736,555,977,720
566,746,555,977,720
567,755,555,977,720
568,775,556,977,720
569,778,556,977,720
570,790,561,1009,720
