7,21,-14,2019-10-26 17:09:45
8,21,-13,2019-10-26 17:09:45
9,21,-12,2019-10-26 17:09:45
9,22,-13,2019-10-26 17:09:45
10,22,-12,2019-10-26 17:09:45
11,22,-11,2019-10-26 17:09:45
12,22,-10,2019-10-26 17:09:45
13,22,-9,2019-10-26 17:09:45
14,22,-8,2019-10-26 17:09:45
15,22,-7,2019-10-26 17:09:45
15,23,-8,2019-10-26 17:09:45
16,23,-7,2019-10-26 17:09:45
17,23,-6,2019-10-26 17:09:45
18,23,-5,2019-10-26 17:09:45
19,23,-4,2019-10-26 17:09:45
20,23,-3,2019-10-26 17:09:45
21,23,-2,2019-10-26 17:09:45
22,23,-1,2019-10-26 17:09:45
23,23,0,2019-10-26 17:09:45
24,23,1,2019-10-26 17:09:45
25,23,2,2019-10-26 17:09:45
26,23,3,2019-10-26 17:09:45
26,24,2,2019-10-26 17:09:45
27,24,3,2019-10-26 17:09:45
28,24,4,2019-10-26 17:09:45
28,25,3,2019-10-26 17:09:45
29,25,4,2019-10-26 17:09:45
29,26,3,2019-10-26 17:09:45
30,26,4,2019-10-26 17:09:46
31,26,5,2019-10-26 17:09:46
32,26,6,2019-10-26 17:09:46
33,26,7,2019-10-26 17:09:46
34,26,8,2019-10-26 17:09:46
35,26,9,2019-10-26 17:09:46
36,26,10,2019-10-26 17:09:46
36,27,9,2019-10-26 17:09:46
37,27,10,2019-10-26 17:09:46
37,28,9,2019-10-26 17:09:46
38,28,10,2019-10-26 17:09:46
39,28,11,2019-10-26 17:09:46
40,28,12,2019-10-26 17:09:46
40,29,11,2019-10-26 17:09:46
40,30,10,2019-10-26 17:09:46
40,31,9,2019-10-26 17:09:46
40,32,8,2019-10-26 17:09:46
40,33,7,2019-10-26 17:09:46
40,34,6,2019-10-26 17:09:46
40,35,5,2019-10-26 17:09:46
41,35,6,2019-10-26 17:09:46
42,35,7,2019-10-26 17:09:46
42,36,6,2019-10-26 17:09:46
43,36,7,2019-10-26 17:09:46
44,36,8,2019-10-26 17:09:46
44,37,7,2019-10-26 17:09:46
44,38,6,2019-10-26 17:09:46
44,39,5,2019-10-26 17:09:46
44,41,3,2019-10-26 17:09:46
45,41,4,2019-10-26 17:09:46
46,41,5,2019-10-26 17:09:46
46,42,4,2019-10-26 17:09:46
47,42,5,2019-10-26 17:09:46
47,43,4,2019-10-26 17:09:46
47,44,3,2019-10-26 17:09:46
47,45,2,2019-10-26 17:09:46
47,46,1,2019-10-26 17:09:46
48,46,2,2019-10-26 17:09:46
48,47,1,2019-10-26 17:09:47
49,47,2,2019-10-26 17:09:47
50,47,3,2019-10-26 17:09:47
51,47,4,2019-10-26 17:09:47
52,47,5,2019-10-26 17:09:47
53,47,6,2019-10-26 17:09:47
54,47,7,2019-10-26 17:09:47
55,47,8,2019-10-26 17:09:47
56,47,9,2019-10-26 17:09:47
56,48,8,2019-10-26 17:09:47
57,48,9,2019-10-26 17:09:47
58,48,10,2019-10-26 17:09:47
59,48,11,2019-10-26 17:09:47
59,49,10,2019-10-26 17:09:47
62,51,11,2019-10-26 17:09:47
62,52,10,2019-10-26 17:09:47
62,53,9,2019-10-26 17:09:47
63,53,10,2019-10-26 17:09:47
63,54,9,2019-10-26 17:09:47
63,55,8,2019-10-26 17:09:47
63,56,7,2019-10-26 17:09:47
63,57,6,2019-10-26 17:09:47
63,58,5,2019-10-26 17:09:47
63,59,4,2019-10-26 17:09:47
64,59,5,2019-10-26 17:09:47
65,59,6,2019-10-26 17:09:47
0,2,-2,2019-10-26 18:16:43
0,3,-3,2019-10-26 18:16:43
0,4,-4,2019-10-26 18:16:43
0,5,-5,2019-10-26 18:16:43
0,6,-6,2019-10-26 18:16:43
0,7,-7,2019-10-26 18:16:43
0,8,-8,2019-10-26 18:16:43
